StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.3,Q3.1,Q4.1_1,Q4.2_1,Q5.1_1,Q5.2_1,Q6.1_1,Q6.2_1,Q7.1_1,Q7.2_1,Q8.1_1,Q8.2_1,Q9.1_1,Q9.2_1,Q10.1_1,Q10.2_1,Q11.1_1,Q11.2_1,Q12.1_1,Q12.2_1,Q13.1_1,Q13.2_1,Q14.1_1,Q14.2_1,Q15.1_1,Q15.2_1,Q16.1_1,Q16.2_1,Q17.1_1,Q17.2_1,Q18.1_1,Q18.2_1,Q19.1_1,Q19.2_1,Q20.1_1,Q20.2_1,Q21.1_1,Q21.2_1,Q22.1_1,Q22.2_1,Q23.1_1,Q23.2_1,Q24.1_1,Q24.2_1,Q25.1_1,Q25.2_1,Q26.1_1,Q26.2_1,Q27.1_1,Q27.2_1,Q28.1_1,Q28.2_1,Q29.1_1,Q29.2_1,Q30.1_1,Q30.2_1,Q31.2_1,Q31.2_2,Q31.2_3,Q31.2_4,Q31.2_5,Q31.2_6,Q31.2_7,Q31.2_8,Q31.2_9,Q31.2_10,Q31.2_11,Q31.2_12,Q31.2_13,Q31.2_14,Q31.2_15,Q31.2_16,Q31.2_17,Q31.2_18,Q31.2_19,Q31.2_20,Q31.2_21,Q31.2_22,Q31.2_23,Q31.2_24,Q31.2_25,Q31.2_26,Q31.2_27,Q31.2_28,Q31.2_29,Q31.2_30,Q31.2_31,Q31.2_32,Q31.2_33,Q31.2_34,Q31.2_35,Q31.2_36,Q31.2_37,Q31.2_38,Q31.2_39,Q31.2_40,Q31.2_41,Q31.2_42,Q31.2_43,Q31.2_44,Q31.2_45
26/01/2019 03:55,26/01/2019 04:08,IP Address,46.59.238.129,100,801,TRUE,26/01/2019 04:08,R_2rwJgkwemjckHrM,,,,,53.7098999,9.994598389,anonymous,EN,41,Female,"Yes, I consent",,,91,87,,,90,90,,,,,,,88,88,,,,,95,95,,,,,90,80,,,,,84,94,,,,,,,98,100,,,,,94,90,95,85,,,,,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree
26/01/2019 04:02,26/01/2019 04:09,IP Address,193.56.242.111,100,452,TRUE,26/01/2019 04:09,R_8l7BS1wkWVwI5Cp,,,,,48.85820007,2.338699341,anonymous,EN,20,Female,"Yes, I consent",,,,,34,22,,,67,77,,,41,6,,,,,,,51,30,,,75,16,,,,,,,,,11,88,,,33,92,,,,,60,93,,,,,,,94,29,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree
26/01/2019 03:57,26/01/2019 04:12,IP Address,82.6.117.134,100,915,TRUE,26/01/2019 04:12,R_RrH4DJEmEjqGNvH,,,,,54.58329773,-5.933303833,anonymous,EN,21,Female,"Yes, I consent",,,,,30,40,75,81,,,,,,,,,30,30,60,15,,,,,,,,,51,40,80,40,,,,,85,60,,,,,90,100,,,,,,,80,82,,,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree
26/01/2019 04:30,26/01/2019 04:48,IP Address,187.217.246.179,100,1107,TRUE,26/01/2019 04:48,R_11YEAIGYfwfGcKQ,,,,,19.17289734,-104.2567978,anonymous,EN,24,Female,"Yes, I consent",,,70,60,,,,,70,50,,,100,25,,,,,,,,,100,100,,,80,80,,,,,90,100,,,100,100,,,,,,,,,100,100,100,100,,,,,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree
26/01/2019 04:56,26/01/2019 05:14,IP Address,92.14.236.179,100,1106,TRUE,26/01/2019 05:14,R_2fwwbMnAW4mk8xz,,,,,54.38330078,-6.333297729,anonymous,EN,20,Female ,"Yes, I consent",40,50,,,,,,,60,50,,,,,60,80,,,,,50,10,,,,,,,50,0,70,100,,,,,,,50,20,,,,,90,100,,,,,,,70,100,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree
26/01/2019 06:13,26/01/2019 06:33,IP Address,62.64.180.169,100,1212,TRUE,26/01/2019 06:33,R_269j63axz4BxM2E,,,,,54.57859802,-5.999694824,anonymous,EN,25,Female,"Yes, I consent",50,30,,,,,,,30,60,,,,,,,30,40,,,,,100,80,,,90,60,,,,,20,20,,,100,100,,,,,,,,,100,100,100,100,,,,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
26/01/2019 06:46,26/01/2019 07:02,IP Address,94.192.201.38,100,985,TRUE,26/01/2019 07:02,R_2zhVEtIhLjkq0tL,,,,,54.58329773,-5.933303833,anonymous,EN,17,Male,"Yes, I consent",,,,,19,0,65,84,,,,,59,36,,,,,,,40,30,,,60,61,,,,,65,50,,,,,,,,,90,100,100,100,,,,,70,50,,,,,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree
26/01/2019 08:04,26/01/2019 08:28,IP Address,2.101.127.12,100,1429,TRUE,26/01/2019 08:28,R_bkH8Xa5btqMdD6V,,,,,54.6815033,-5.967895508,anonymous,EN,21,Female,"Yes, I consent",,,,,40,20,,,60,55,,,,,,,20,20,,,,,80,80,,,,,90,85,,,,,60,20,,,,,60,80,,,100,90,,,,,,,90,90,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Disagree
26/01/2019 08:32,26/01/2019 08:45,IP Address,89.242.199.229,100,782,TRUE,26/01/2019 08:45,R_wXVZEL1DkRhCK7T,,,,,54.58329773,-5.933303833,anonymous,EN,22,Female ,"Yes, I consent",34,25,,,,,68,64,,,,,59,63,,,,,61,20,,,,,,,47,30,,,,,,,93,78,99,99,,,,,,,66,60,,,,,39,40,,,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree
26/01/2019 08:49,26/01/2019 08:58,IP Address,176.27.0.30,100,558,TRUE,26/01/2019 08:58,R_29i9rw0Rd8oKDsw,,,,,54.6815033,-5.967895508,anonymous,EN,20,Female ,"Yes, I consent",52,30,,,,,,,,,37,52,,,36,13,,,97,69,,,,,100,86,,,,,100,100,,,,,,,,,55,100,,,,,73,100,,,80,43,,,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree
26/01/2019 08:58,26/01/2019 09:03,IP Address,89.213.15.165,100,324,TRUE,26/01/2019 09:03,R_1FnxRZJ5byrr1Yh,,,,,51.39810181,-0.047302246,anonymous,EN,24,Male,"Yes, I consent",,,,,15,10,,,17,22,,,,,,,25,31,,,,,45,46,,,,,8,18,,,22,24,,,,,50,51,,,,,100,100,,,84,87,,,,,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree
26/01/2019 09:08,26/01/2019 09:13,IP Address,143.117.233.248,100,273,TRUE,26/01/2019 09:13,R_5p6R19wqLWbR6YV,,,,,54.58329773,-5.933303833,anonymous,EN,21,Female,"Yes, I consent",,,10,5,,,92,92,,,,,20,14,,,,,,,30,20,,,,,70,65,,,,,,,60,24,92,92,,,,,90,71,,,,,,,,,81,71,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree
26/01/2019 09:30,26/01/2019 09:38,IP Address,82.24.124.184,100,466,TRUE,26/01/2019 09:38,R_1LhPAr7QVTkNQv2,,,,,54.58329773,-5.933303833,anonymous,EN,25,Attack Helicopter ,"Yes, I consent",,,64,25,,,,,,,25,10,,,70,52,,,,,80,45,,,,,30,4,,,40,20,,,,,,,,,90,61,,,,,73,69,,,71,72,,,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree
26/01/2019 11:14,26/01/2019 11:28,IP Address,85.255.237.7,100,848,TRUE,26/01/2019 11:28,R_4YHTdRWIF8jIcBH,,,,,51.49639893,-0.122406006,anonymous,EN,42,Female ,"Yes, I consent",,,,,48,83,54,67,,,,,71,59,,,,,,,,,59,86,,,,,55,59,67,81,,,,,,,79,84,,,,,,,70,79,,,,,84,57,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree
26/01/2019 11:33,26/01/2019 11:44,IP Address,94.14.144.97,100,658,TRUE,26/01/2019 11:44,R_1l9SIytbF5YAi6y,,,,,54.61050415,-5.962493896,anonymous,EN,30,Female,"Yes, I consent",,,,,20,20,,,,,70,80,,,40,60,,,,,,,50,39,70,30,,,,,,,,,80,70,,,30,70,,,100,100,,,,,69,60,,,,,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree
26/01/2019 12:05,26/01/2019 12:26,IP Address,82.132.242.202,100,1240,TRUE,26/01/2019 12:26,R_ALjhnoFLtWfTuOl,,,,,51.49639893,-0.122406006,anonymous,EN,55,Female,"Yes, I consent",,,80,81,,,,,,,90,100,,,,,70,60,100,100,,,,,,,42,60,,,89,90,,,,,80,80,,,,,,,100,100,,,,,,,50,30,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
26/01/2019 12:44,26/01/2019 13:09,IP Address,82.132.216.135,100,1484,TRUE,26/01/2019 13:09,R_24rlMR3AP9X4M5X,,,,,51.49639893,-0.122406006,anonymous,EN,23,Male,"Yes, I consent",,,,,30,70,80,90,,,,,80,50,,,,,,,61,40,,,,,,,80,35,,,70,70,,,,,,,85,70,90,80,,,,,80,90,,,,,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree
26/01/2019 13:10,26/01/2019 13:13,IP Address,92.27.90.61,100,212,TRUE,26/01/2019 13:13,R_2YleB2SPIt8voO4,,,,,51.53329468,-0.100006104,anonymous,EN,21,Female ,"Yes, I consent",,,,,3,3,,,,,11,4,,,,,7,4,,,,,47,31,,,25,27,,,,,,,9,12,,,,,48,24,56,65,,,,,,,70,75,,,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree
26/01/2019 13:08,26/01/2019 13:16,IP Address,81.153.204.87,100,449,TRUE,26/01/2019 13:16,R_1DpYNYSaGPTybRs,,,,,54.58329773,-5.933303833,anonymous,EN,21,Female,"Yes, I consent",,,57,55,,,,,77,67,,,,,,,62,44,50,43,,,,,93,92,,,,,86,75,,,,,89,73,,,,,,,100,91,,,86,86,,,,,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Disagree
26/01/2019 12:57,26/01/2019 13:39,IP Address,2.27.169.204,100,2490,TRUE,26/01/2019 13:39,R_1FgNRFr1keCcLIf,,,,,54.58329773,-5.933303833,anonymous,EN,42,Female ,"Yes, I consent",50,29,,,,,41,27,,,,,,,28,24,,,40,51,,,,,,,,,40,30,,,,,30,20,61,73,,,,,,,,,50,49,,,70,50,,,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Strongly Disagree
26/01/2019 13:53,26/01/2019 14:08,IP Address,82.132.242.159,100,923,TRUE,26/01/2019 14:08,R_1f2QjRNNvztq56B,,,,,51.49639893,-0.122406006,anonymous,EN,21,Male,"Yes, I consent",40,6,,,,,,,86,75,,,50,30,,,,,,,70,30,,,,,,,70,50,,,,,50,25,,,91,93,,,,,95,89,,,,,,,51,50,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
26/01/2019 13:36,26/01/2019 14:16,IP Address,94.3.150.2,100,2395,TRUE,26/01/2019 14:16,R_3nejKqxyoGE6kXl,,,,,54.38330078,-6.333297729,anonymous,EN,66,Female,"Yes, I consent",,,,,35,23,31,8,,,,,90,81,,,,,21,19,,,,,12,10,,,,,14,24,,,,,,,83,100,,,76,100,,,,,37,37,,,,,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree
26/01/2019 14:20,26/01/2019 14:31,IP Address,188.29.164.202,100,672,TRUE,26/01/2019 14:31,R_1pSsxOe3Nn60EJa,,,,,51.50849915,-0.125701904,anonymous,EN,23,Female,"Yes, I consent",58,12,,,,,,,,,39,75,,,,,30,15,,,,,33,89,62,36,,,,,,,64,77,,,,,,,50,60,,,,,85,68,,,72,51,,,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree
