Polarity,Tweet
Positive,@rebeccabachmann No  everything about the frog is all above board.         
Positive,Watchinn little britain          
Positive,Mojo...where art thou??          
Positive,talking to some great people!! all love the learning center!!           
Positive,@Sebastyne Nah....but I would be wearing an ipod listening to the song ina  photo.          
Positive,@rickypl Ive been busy all weekend prob take half day today          
Positive,@KellyOrange I keep forgetting which days I can water so I just havent been doing it. Guess Id better look it up before everything dies          
Positive,@windows Play your cards right and you can be @SunsBunny LOL Ummm anyway you look like an innocent angel but somehow I doubt it  xoxo         
Positive,hmm? how so?          
Positive,@riversideboy heya  you okay?         
Positive,KRISTIN CHENOWETH  LOVE OF MY LIFE!! glad she was feeling well enough to present.         
Positive,doors open pm - slightly excited.....           
Positive,@taylorswift http://twitpic.com/g - well....i know MY lake hair is not glamorous.... but im pretty sure ur hair is ALWAYS glam.          
Positive,im making it follow monday! @xsamanthanicole @megamileyfan @vprincessfan @vprincess @mandyyjirouxx @ddlovato @katiesantry @karleigh             
Positive,@tracynova http://twitpic.com/o - Am I getting a personalized issue miss?          
Positive,@michaelprutsman Thanks! You know me- Ill be updating the whole time!  What show did you play at tonight?         
Positive,@Shesirawr aku jg deh mau tdr dl hehe yaudah nnt ya ceritanya  bye bye         
Positive,@jenstuart Awesome that you donated your hair  and love the new look         
Positive,just had a bath          
Positive,cba with twitter really... just spend my time on facebook          
Positive,There seems to be a lovely empty desk in the corner well away from all the madness - am going to see if I can get my paws on that          
Positive,Testing from phone. Testing testing... Loving this new phone. Also loving new Ashes to Ashes.          
Positive,@dannybrown I like your &quot;rubbish&quot;! Interesting  useful  entertaining. Always positive. More of your rubbish  plz.       
Positive,feature i like about virtual machines - when you restart them your connection is not cut. #virtualbox headless vid rdp          
Positive,@maedeguz walk to work http://sfbay.craigslist.org/eby/med/.html          
Positive, ~ cooking!!!         
Positive,Erin won first round of regionals. Final tonight at           
Positive,@MisfitDior good morning misfit *passes you Tylenol*          
Positive,@cobaltcow @bloggingchick ill know when Thursday  end of the week though. ill let yo guys know         
Positive,Niver Thatha  dia feliz!         
Positive,@danielbridge text me if your staying there may go for a walk again  and can leave my bag in centre.         
Positive,god damn predictive txt at home waiting for the gasman to service the boiler          
Positive,@nileyxlove okay thanks soo much          
Positive,@LeanaA lol k im still here          
Positive,@luxofgodsgirls i love you babe. and i love watching movies with you.          
Positive,just having coffee - slept in late          
Positive,Emily took me out on a date to watch UP  yay!!!         
Positive,is tired! ... But Im soo STOKED for this! Rock Out With Your Cock Out! Yay!!!          
Positive,Yesss me and hillary have a suite! With twoo tvs! Its awesomee          
Positive,@radarlistener enjoy your freedom and partying          
Positive,@MyInnerRedd hey redd how are you honey           
Positive,Done unpacking.  I feel alot better about things now          
Positive,Live long and prosper.          
Positive,im finally having a life!          
Positive,bout to make some dinnerrrr          
Positive,@deadlymedia glad to see you working          
Positive,I feel like dancing around the livingroom. Well.. i might as well do so..          
Positive,Sing me to sleep  Ill see you in my dreams. Goodnight twitter world         
Positive,[Jimmy Buffett Live -  Trip Around The Sun]  Happy Birthday @thoughts!!  ? http://blip.fm/~mrh         
Positive,Watching the sub rise          
Positive,is excited about her new ringtone!  Every time my phone rings I will start dancing cus of it          
Positive,Note to self: You look nice today          
Positive,Beautiful day in Sothern California. A day to relax?  Sigh... No  a long to-do list. Anyone want to come over and help         
Positive,Tralee and Mike... ITS YOUR WEDDING DAY!  Cant wait to photograph it!          
Positive,@amanda_baybeee Mines are the st and the th and then thats me!          
Positive,@salandpepper how was the sunday papers  x         
Positive,Ha i forgot how fun fruit rollups are          
Positive,To Dear: U lum tidur ka? I know ure bored there  me too. See u tomorrow dear.         
Positive,@harrymcfly Did You havee a Good Day today ?? i did A Dancing Competion And Came st !!  x         
Positive,Going to bed wiped out    Primark + Chelsea on Tuesday   Lets see what tomorrows events will bring Night Night !  x         
Positive,@PatriceEgging re: enthusiasm: well  hey! Glad to be of service then... I am the idea man         
Positive,aite im done yall  time to finish up this work before !!!         
Positive,im very blessed  looking forward to a peacefull week         
Positive,Sitting on the balcony in panama city.. Nice breeze.          
Positive,i love wolverine. great movie          
Positive,@liswebnet i see youre a dempsey admirer  are you making the voyage to see one of his shows? im heading to syd-den-knee  itll be grannnd        
Positive,Loving the # dreambears on #britains got talent          
Positive,I think I should have been cast instead of Jackson Rathbone for the part of Varg Vikernes for the upcoming &quot;Lords Of Chaos&quot; movie!  -KhÃƒÂ¢os         
Positive,Packing my bag to Krabi tomorrow. Mini-vacation          
Positive,@artfanatic Youre very welcome          
Positive,sorry mum  will treat you well from now on         
Positive,Has a date tonight!!!          
Positive,HAHA : sexyhairphobia &gt;) ilu saralaw.  and kristineT. ! dahahaa   ???!   feel like eating some sour patches(: ! lets talkk  
Positive,@WiredMoms good for you  hard work but someone has to do it!       
Positive,omg im literally falling asleep  why does work have to be so early???? morning twitters         
Positive,@RosalieHaleRPG we know  haha.         
Positive,is online shopping yaaaaaaaay  http://plurk.com/p/zzzc         
Positive,me and @jessicabianca had fun talking to our papa bear. we really do hope hell allow us to get some ringside tix to WWE..  goodnyt         
Positive,@tanyaashwood  hey  thnx a lot  u did ur part in stoppin human traffickin. . . .        
Positive,@ConservativeLA They were crashing          
Positive,is back on Twittaaa  No Drama Beats shirt yet. Ugh.         
Positive,@RodKirby  How are you?  What great stuff are you working on?         
Positive,@jadeeisabel i found you off caitlins twitter. how about following mee  lol         
Positive,@yezbok Well  thats a lovely idea to start the day with. Thanks!         
Positive,yaaawn college glad we finishe early again          
Positive,@DailyAdviser http://twitpic.com/ieg - what are we  in doctor who?         
Positive,@TheRealJordin Can you leave me a reply? I need some loove while Im at work. Please sweeeeet Jodie          
Positive,watching the view amp; thinking about hitting up the gym OR finishing angels and demons  tough life kids  tough life        
Positive,@blueholly I luv you too and no you hadnt! I was waiting fooooorrrreeeevvveeerrrr!          
Positive,@abbasnaqvi just had to get that out of the way. about the F&amp;F marathon - yes  agreed. i think thats why were drinking during it.         
Positive,@QUIXU hahaha! I have to get that song sometime...          
Positive,@idungiveafuck hey watever works for u Gangster!!! Call Me!!!!          
Positive,New songs are literally off the chain  just wait         
Positive,@somotch - we sure will!           
Positive,#followfriday @scriblit  @algo  @mikeetee @seal_girl @Danielsmum - all awesome tweeters        
Positive,@kster When driveday comes OHMY! short vers.ear infectionS gone bad(real bad)w diabetes complications its been a battle. Im winning        
Positive,Im a ray of fucking sunshine today so just enjoy it          
Positive,Yes Selena  they are. haha         
Positive,Finding a carpenter to repair damage to trim and patio cover after Ike. errands  establishing healthier daily regimen.  Paying Bills. FMC         
Positive,CALI JULY -  &amp;&amp; VEGAS AUG TH -ST          
Positive,@pswope Ill be doing that after work Ill let u know. Thanks          
Positive,@tweryll oh wow this is where it all starts. I guess its all working out in the end. Life is good to nice people.          
Positive,@meekai I have to work today... but maybe we can on a day that Im off!          
Positive,The Hangover was great          
Positive,@YourFilm_KO Yes. Mind you I was the same person who said Hatton could dust the Pacman          
Positive,Autumn says I look like Cindy-lu Hoo. From the Grinch. Woot-Cause thats such a Compliment         
Positive, years and  days          
Positive,@andyoureuglytoo I feel the same          
Positive,starts a  day week optical dispensing role in Regent St next Sat.          
Positive,Alan Bradleys here... a perfectly delightful gentleman!  Signed copies wont last through week  so if you havent gotten yours  do it!        
Positive,@KieranBennett LOL you are a Melrose boy now. How s of you          
Positive,@nikkiwoods The feeling is mutual  I have been meeting a  lot of West Indian women in Entertainment these days          
Positive,@shelbilavender Hugs to you  sweetie!         
Positive,discovered the best remedy for indigestion - haryana roadways          
Positive,@mhong LOWKEY- I TOLD YOU! WHAT WERE DOIN TOMORROW.          
Positive,@linnyboo cause I care  lol         
Positive,Being extra positive.  Going to school today  working my bum off  Willpower class to kick my bum  then home to sit on my bum!        
Positive,having cereals.          
Positive,@Guada_Jonas OMG soo your age is proportional to Joes age  HAHA         
Positive,@shurweee puahah! aww i cant wait to see ur pictures!          
Positive,@Dilpickle Ah... ok... gotta keep that in mind  thanks         
Positive,at worrrrrrk  loving cassie         
Positive,@uwillbeheard ahh until then u can live it thru me          
Positive,Maths exam today  OH JOY !! ^o) I will fail in style         
Positive,with kayla.  were hanging outttt.         
Positive,http://bit.ly/byF /profile.php?id=&amp;ref=profile &lt; JUST AD ME  its facebook btw lol x         
Positive,Home. Good times w the crew tonight. Passin out... lookin fwd to tomorrow          
Positive,@benshephard Hi Ben.  Just been instructed by Andi to say hello ;)          
Positive,www.myspace.com/bearcare  check us out on myspace          
Positive,Congrats to Kenzie Finn.....winner of the baby food guess game          
Positive,Doona  heater  scarf  jumpers  hot soup  next  wifey     
Positive,@carolermp haha may see you there then. Hope you enjoy the spectacle          
Positive,Wow   followers! I feel like I should start a podcast or something.         
Positive,@ddlovato http://twitpic.com/cap - awww!!! PUPPY!!!!!!!!!!!!!!!!!  super adorable!!!! i love how dogs eyes changes in pics! in on ...         
Positive,@duckydoo Thanks so much for sharing the short on u on our #documentaries twibe! I like u even more now &amp; not just  the obvious reason.          
Positive,- Have a GREAT Sunday... be blessed and encouraged!! Im going to PASS OUT now. haha Earlier than usual... yay!  GOD BLESS YOU!!!         
Positive,@notsooglam ttyl no doubt ill be still awake!          
Positive,@TeamMichael I signed!  good night everyone.         
Positive,I had several varying thoughts on my way into work this morning. The st was about Mr. Rogers &amp; his neighborhood. The weather =beautiful.          
Positive,@isla_fisher i think not... you are unique... LOL!          
Positive,@TJusa Almost forgot! Thanks          
Positive,just got home. whoops          
Positive,@langfordperry  Do you make your own sauce? always wish had my grandmothers recipe...homemade yummy is always better          
Positive,ich bin einfach teh gossip boy in the town!          
Positive,@margiewalker Well done on the touch typing! I took photos... the cognitive dissonance was simply too much          
Positive,watching the E! favorite fucking channal everrr          
Positive,@yourproxycomm thanks for following          
Positive,Out at dinner with the family          
Positive,is cooking uhm..vegetable soup!!!          
Positive,@djELITE Right on! Saturday....gonna take the kids to see &quot;Up&quot;          
Positive,@accordingtonina  I am % down with that idea!    I love that I can skip out on work to have a &quot;mtg&quot; with you.  Cant wait to schedule!         
Positive,@tamgra Congratulations and all the best for the very exciting times ahead           
Positive,@AlanaKarran thank you Alana          
Positive,Im up and ready for my day! The suns out and my smile is shining  My favz @ForeverKeesh n @FeFeBel are on their way to thee   finally        
Positive,Haha  Tweetie SN at Mac-BB. It took half an hour. If u challenge the Mac-BB-Community u will eat your own dust!         
Positive,@maxgamereport Sims?          
Positive,@xoChantelly lol  Hows your fic going?         
Positive,@deeHustle Yes  thank you. I was lucky on the iTouch. All it took was a little tweeting.   Thanks Licensing Expo!        
Positive,wendys for lunchtime...twas YUMMO          
Positive,Im out of granola bars at the office  so I guess dark chocolate covered raisins will have to do for my snack  yum!        
Positive,All of that courtesy of #. Lol Baby and I had a date tht I canceld on  but shes over it now. Right? Right.         
Positive,@panacea just ordered Vintage Glams  cant wait to get them!          
Positive,Ive been having a lot of fun with find awk sed and grep          
Positive, weeks tonight and i will have seen jonas and demi live          
Positive,@Jonasbrothers hi guys  im from brazil  and i cant wait to see you here in sÃ¯Â¿Â_o paulo. love you su much xx        
Positive,@drakeshipway good stuff! Ill let you know how the iPhone version is when I get it in a couple weeks          
Positive,@vivekk To me  it reminds of my Trichy times. www.pragyan.org         
Positive,Use what you have to be a blessing and your well will never run dry          
Positive,@AshleyLTMSYF Aww  sounds like fun         
Positive,@nicolerichie OMG sister act is my fav movie ever. its ssooo old skool - i love it.  &quot;aint no mountin high enough.......          
Positive,Uniform on for the last time          
Positive,@koshadillz Oh  and I didnt forget about the vid!!! Ill call u on my way into the office morrow. K?         
Positive,; needs to buy herself a birthday dress          
Positive,@Gurlstrange yea it is!  http://tinyurl.com/baotl they are others as well          
Positive,@its_me_manny I really sorry   mr spanish .... i had to went to drama rehearsal . so i didnt have time to tweet . im sorry         
Positive,Beautiful people  Shuteyeview playing tomorrow at s Bistro  with Itchyworms!  @dyugs       
Positive,@baby_bueno yeah most likely          
Positive,cheers for the various retweets @philipjreed @drilone @motorbot @tikistitch          
Positive,Yay for blue skies  i love the freedom of not being in school &lt;         
Positive,@TraceCyrus dude your off the chain  insanely cool! metro station has hit it big here in south africa! bring the band over         
Positive,yey! test is already over! wish me luck.          
Positive,@UnseelieAllure Do you know where I could get one that isnt going to break the bank?          
Positive,If youre a computer geek  great! But are you really? Here are   things that every geek should know  http://tinyurl.com/cwmab        
Positive,@shilohwalker That even though she doesnt read romances (shes more into true-crime &amp; bios) shes like me in that she wants the HEA.          
Positive,@andreawong_nz @andreawong_nz here  here seesmic is great and you can run more than one account from it and Facebook         
Positive,@dariachenowith so pretty          
Positive,@mannny me too!  haha i take it your watchin it on hbo?         
Positive,@MsMasiya and thanks for giving me some ... attention          
Positive,@Melissa -- summer jam just became AMAZING due to DAY!!!!          
Positive,@JSafetySuit interesting  thanks for the follow  love your guys song! ;) moar plz!          
Positive,@purplebeats would like to know more about that guy making a fool of himself  what was your result?         
Positive,just finished the dreaded&quot;cleaning house day.&quot; i am soooo tired and sore. its sad  but its good to have a clean house again.  lol        
Positive,@LiLi Yeah  thats why I hit the IGNORE button!!! I dont even be feelin that!!         
Positive,Almost a full moon time to howl          
Positive,@m_callahan http://twitpic.com/slub - congratulations! Youre all so beautiful          
Positive,@moonfrye Are they still playing the music? Are the kids dancing? (Look like ABC might have a show on their hands  )         
Positive,@adrianmoss because when we landed  we went riding in the woods.         
Positive,@greg_cannon yeah maybe - can you be a bit more specific          
Positive,Time to get ready for bed.  BRB from the bedside laptop.           
Positive,Now a show called World Heritage is on. Its got subs  However  this narrator has the accent of an English speaker  somehow...       
Positive,Its sunnny          
Positive,@axelfonte @iammaru Im all ears guys!          
Positive,I like the same music kristen stewart does like. lol! cherry bomb!          
Positive,@misskely Mum doesnt like calling Delivery. And since Mc was on the way to my home  I have to buy lor. Once a while exercise.         
Positive, Followers!  Thanks  gonna have a movie night with my bestfriend &lt; She is amazing! Have a great day! ;) xoxo        
Positive,All by my lonesome  havin alittle Entourage marathon!         
Positive,Pasta dish almost ready. Opening wine. Zoe looks gawjus tonight          
Positive,is FRESH and AWAKE for once          
Positive,@leehong hey good afternoon! enjoy yourself  haha..         
Positive,APM Models &amp; Major Models partner up to work the Men board for Fit  Showroom and Runway division and guess who is working it  great news!!        
Positive,turning in for the night. goodnight!          
Positive,Oh yeahh. GO LAKERS!          
Positive,@silvercrone Good tip! Ive never presoaked beans.  Always make in crockpot  great results that way.        
Positive,Dont have a shredder at the moment for bank statements so I have found a extra use for my new BBQ ill let you use your imagination          
Positive,@ummm_StacyI just downloaded like  FOB cds i want to have them all  But I like most Blink Good Charlotte and Rise Against Simple Plan..      
Positive,@JenCrosby Ah  yes that makes a great deal more sense.         
Positive,Good Morning. Off to the gym and a full day  yes full day  video teleconference. Taking sympathy tweets now        
Positive,@EntrepreneurZen And we have even got an Aussie in our team Tim Cahill Tsk Tsk !!           
Positive,Just realized how incredibly confusing my Tweets appear to my Facebook friends.          
Positive,@hnprashanth Sure u can. But *we* want  hav it on Twitter. Plz unfollow just like I like unfollowed u cuz I was sick of ur ranting  #twpp        
Positive,Im correcting peoples grammar on the hate comments they leave me          
Positive,@BMatt Just making sure you knew.          
Positive,@theOlsens im following you girls          
Positive,doing nothing          
Positive,i am SO PSYCHED about the next few days!! EEEEEP! @Fisk is an amazing driver. Stalled maybe  times in  minutes  X         
Positive,@Lisa_veronica see you today girlie! Im going just for you!          
Positive,@Zeavy Checked and added hehe          
Positive,Just bagged herself a free sky plus box and an awesome deal!  good times         
Positive,@TwinkleScoops lol  nah I had exams doing  just one more to go and then it will be officially summer for me        
Positive,Is getting pedicures and lunch with mommy          
Positive,@CultivateHealth Dont know what brand you were looking for  but McCanns Irish Oats are #gfree.         
Positive,Must remove myself from Twitter &amp; FB  go study  work on paper  homework etc...my reward will be that ill be back soon        
Positive,I better be off and do something productive.          
Positive,@ceetee wah happy  see finally ppl seeing BU thanx Miley Cyrus and tell ur sis plenty more good songs lined up          
Positive,On the bright side  I will be getting my iRacing D Class license tonight after only  week on the service. Goodbye Rookie status!         
Positive,SUPER GOOD EVENiNG.   hahaha.  how are you TWiTTERMATESZ?          
Positive,Ok just watching the Nintendo conference  then Second Nature will be happening         
Positive,Watching Storm of the Century          
Positive,Pooping!          
Positive,@Lee_Knight awesome! thanks so much Lee  Im so excited how Rage will be playing Paranoid soon itll be on VideoHits we hope! xxx         
Positive,@samaralbader they sell products          
Positive,Issi Short is   . http://tinyurl.com/ltedqd         
Positive,@trniii just not feeling very creative I guess.... but I just ate some cheerios and feel  better          
Positive, words in The Wake: Walking With Strangers.          
Positive,ive heard Basment Jaxxs new song &quot;Raindrops&quot;...thats fantastic!!! and makes me dancing  i cant wait Fuji Rock Festival...         
Positive,@kaymatthews Sounds like you have influence!          
Positive,@Chells I can go for that! Sounds like a lot fun! Maybe get some citronella candles to keep bugs at bay!  watever park...         
Positive,I knew that Paddlepops were the highest selling icecream  . Im just too clever....either that or I notice that theres never any around.         
Positive,@Madison_Seaman thats okaay  I like cold  &amp; I can stay till like .        
Positive,is gonna spend the evening/night at the ps with my cousin and bro and snacks  wuueh awesome!         
Positive,going to sleep with the sound of halo  and two happy boys          
Positive,had a lovely afternoon picnicing  playing frisbee  and revising in the sun        
Positive,Good morning  America          
Positive,#bgt now that is an act          
Positive,@pimpl Yep  i really do read you when youre writing in english         
Positive,@csifreak   lol should be up soon. I think im losing my touch         
Positive,@JonasBrothers I pre-ordered your album and I LOVE it!!!!          
Positive,@Sara_VFC something that will make him WANT to email me back          
Positive,Finally  a Twitter client for my Commodore   http://bit.ly/Ucj        
Positive,love my cavs  you havent abandoned me yet         
Positive,and my GB Thumbdrive!! This is so exciting!          
Positive,@whiskeyrose - Ill make sure I do.  And then Ill blame you! LOL         
Positive,@wodieskodie welcome to rainy season          
Positive,Morning everyone          
Positive,Layin it down...wish my HB were here or vice versa. Only  days to go baby!!!   Hope u feel better in the A.M. Night fellow tweeters!         
Positive,@goodlemax teehee awwe thanks yous hehe *hugs* yer sweet          
Positive,@datn dont worry  youre not missing anything. /bitter         
Positive,@Kathlaen Im so glad youre getting the garage started! Congrats! I know it was hard to get to this point.          
Positive,@ShropshirePixie You mind that journey home now  wouldnt want you to get tuckered out         
Positive,@AlexAllTimeLow Happy Mothers Day hahaha          
Positive,@lyndsey haha your funny          
Positive,sitting at home with tasha listening to beloved mcfly          
Positive,@RAEKWONICEWATER chef  did u see d behind d scenes of jadas video  i spoke about u  http://vimeo.com/       
Positive,just really cant believe all the celebrities who are on Twitter Damn Oprah i guess you do have alot of free time          
Positive,oh yesssss me &amp; the bff (Jo Jo) gonna be matchin again  burberry tees &amp; hoodies         
Positive,@FlonesFan god yeah and my mum said im accident prone HA i dont think so lol theyre all awesome  xxxxx         
Positive,@konghee Hi Pastor  thank you for your teachings over the last  days at SOT. Cant wait for the next lesson! Have an awesome time in KL!         
Positive,Prayed in the pouring rain yetserday for gods spiritual rain to fall on the youth of this nation....it was an amazing experience.          
Positive,@kurt_ctdk One of my all-time favourites too!          
Positive,jamming with eternal erection on spotify and checking out their floobs player  http://bit.ly/SDoq         
Positive,@jbrowny whoa  calm down there big daddy.         
Positive,@lorenzoPORCI hey the live chat was at  PDT yesterday :\\ its over now. but next thursday there will be another chat at the same time.          
Positive,http://twitpic.com/iqf - brownie fights with @EmmaFuck          
Positive,@fromlittleacorn Aw thanks  Bren  Im fine! def not the first time lol        
Positive,@alsiladka... naah @khouryrt is a sweet person! she never harms nobody!  (I hope I said something nice rita and true!)         
Positive,getting ready for tonight with andreaaaaaaaa          
Positive,@dinno Lol... Tht was funny dude!          
Positive,Anyone used the SkullCandy Inkd headphones? Not gonna compare to my UE S.fi  Pros  but will serve as a backup. Please @ me if you have         
Positive,#musicmonday Relapse *-* i loved!          
Positive,@jwage some people have appointments with clients out of the office..          
Positive,Just had a chit chat with my best friend a feel a little better about things  maybe i do over think things         
Positive,@mycaricature very punny          
Positive,says hi everyone!  http://plurk.com/p/zsv         
Positive,getting ready to go to the movies with Mike          
Positive,Agh im so hungry! Lol im getting food at sonic real quick          
Positive,Is a great day here in NI. Makes a change so taking advantage of it  Have a good day twitterverse  catch you later x        
Positive,@Phee Hello!!!  I sent you a DM          
Positive,@dda curry....with some cheap indian whisky in chunking mansion          
Positive,Everybody please help me spread the word about Team Jonas Bros! It would really mean a lot! lol          
Positive,tweeting!!!          
Positive,@sofia_shrapnel great! hope you have a good time! &amp; look forward to hearing about it          
Positive,is back from puxi~ got another prom dress. lol. a really casual one. hahs. and its blaaaaack. &lt; gonna watch natsume nowwww!          
Positive,Just booked my flight back to L.A. for this upcoming wknd. This time more business than pleasure.          
Positive,@hasyya Haha yeah they do! I think Im heading out in a bit to get some ice cream          
Positive,@marykir its .am  about  and Ive been up about an hour. birds are being loud  I will blame them!       
Positive,My dad bought me a  pack of Twisted Teas and told me they better be finished tonight.... So... Getting drunk with Dad          
Positive,@littlefoxy Your husband-bike-open windows-response only just appeared in twitter search. Must have been lingering...          
Positive,is trying to work but is being sucked in the curiosity show vortex          
Positive,Back from Rochester and all! I got a tan!          
Positive,@Kali_Kunkle Kali  I like the fact that you and hubby say good night collectively to the people you have been Tweeting with in evening.         
Positive,@amicollofello dont forget your yearbooks and your first born children.          
Positive,@dedee hey girl whats up  HAPPY AWESOME ASHELY SUNDAY  LMAO         
Positive,@MACKdaddie o my....*hops into the car and drives toward MD*          
Positive,@tracywowfactor  thanks for the #FF recommend          
Positive,just peeked at my schedule for tomorrow... yuck! meeting tuesday will be extra meety          
Positive,is waiting for the everton match          
Positive,Ooh! BCLs new vid with her and her hubby as a newly wed is disgustingly sweet          
Positive,BPhotography Im glad u feel better. Im keepin u in my prayers. As always.  *~ Whit ~*         
Positive,@zacharyxbinks dont forget to eat a big breakfast full of brainfood!  gooood luck  Ill say a prayer for your success !        
Positive,@tommcfly tom thats so rude  i cant believe a &quot;fan&quot; would do that!! i love ALL your songs  mcfly are amazing  loveyouu! replyy please  x       
Positive,Today dads gonna get my pounds  Cant wait!! xx         
Positive,@SamaritanWoman Hi  good luck with your book.  Keep in touch with me and well help each other.  Oh  and drink plenty of coffee!        
Positive,listening to Will Smith  waiting for the moment to sleep... not sure when         
Positive,@Trendguru Thanks for the retweet.          
Positive,@mcurie wow  thats a lotta things !!         
Positive,@cArtPhotography At least your hair smells good.           
Positive,Morning all  been really enjoying Prototype  its a little rough round the edges but it sure is fun        
Positive,@xLovebug noooothing mucho  Annoyed by learning  haha xD wbuu gangster? ;p        
Positive,Voted for Diversity          
Positive,FA-REAKED at the dentist...ask me lol....also I TOTALLY GOT A ND JOB AT HOT TOPIC!!!  sheww..cutting it close!         
Positive,@tom_ra Vodafone will probably get you the best reception  but might not be the cheapest.         
Positive,@parrottadam Im not sure  but you can ask him in  days!          
Positive,at home already          
Positive,Its nice and cloudy outside. Just light enough to see a dude across the street          
Positive,SBA. greatest thing ever. tonight was amzing          
Positive,: dad was awake w/we went n.looks good. mom made dad pucker up after  lazy kisses so she got a god rd kiss. his colors really good          
Positive,@fjkinnit Are you drunk?  Sweeps  basically Rochester gets turned into a big festival for the weekend  all the pubs do beer in plastic...       
Positive,Thanks Linda!  @lindadominique         
Positive,I got to get off for a bit to shower &amp; get ready for work. I hope @pntbtrkisses can figure out the pix thing!          
Positive,@Kloulee hello hun! Nice to meet you!          
Positive,@Alice that is smart. Im just going to waite until my jake comes I know he is some were here I just gotta waite          
Positive,My GOD TV interview is today! Intercession on my behalf would be greatly appreciated          
Positive,@doublethecookie atrium.          
Positive,Photo: my new poster.  http://tumblr.com/xbfxirlw         
Positive,: skype time! chatting with achie          
Positive,All my friends have made fun of me publicly now for watching Titanic. I dont care.  Im horny - guess what  I.. http://twurl.nl/wqvn        
Positive,bout to leave. goin to d mall. catcha yall later.          
Positive,@BrentO what about aPORKalype Now for the made for TV movie?          
Positive,@showeda Ah no Im not scared. Its a great opportunity. But dont be confused - I didnt develop TweetDeck. Im just the community guy          
Positive,@JenniRose WELCOME TO TWITTER... you goofy girl!!          
Positive,You never really stop loving someone. You just learn to try to live without them.          
