title,newsSource
A kiss for my baby: Simon Cowell puts on a show of affection with girlfriend Lauren Silverman as they arrive in Barbados with Eric,DailyMail
EXCLUSIVE: Down-to-earth David Beckham surprises shoppers as he hits high street store to stock up on his festive essentials,DailyMail
The Smart way to beat a parking fine: Owner wins year-long battle after parking her tiny car at right angle ,DailyMail
'We couldn't be happier!' Abbey Clancy announces she is expecting her second child with husband Peter Crouch,DailyMail
First pictures inside the Pakistan massacre school: Shocking images reveal bombed-out offices of principal who was burnt alive in front of her pupils - just because she was married to a soldier ,DailyMail
Russia risks Soviet-style collapse as rouble defence fails ,Telegraph
Student raises thousands for homeless man who offered her £3 for a taxi,Telegraph
"The Missing, final episode, review: 'a manipulation too far'",Telegraph
England won't put up with Scotland's behaviour for long,Telegraph
Life on Mars: Nasa finds first hint of alien life,Telegraph
'Sanchez's style is embarrassing and dangerous',Telegraph
Russell Brand compared to 'school bully' by RBS employee after bank protest,Telegraph
Nativity donkey dies after being sat on in Spanish Christmas fair,Telegraph
Russian economic crisis: live,Telegraph
Pakistan school attack: 132 Taliban hostages feared dead - latest,Telegraph
"Taliban Besiege Pakistan School, Leaving 145 Dead",The New York Times
Warren Can Win,The New York Times
Russia's Steep Rate Increase Fails to Stem Ruble's Decline,The New York Times
 'A Great Moment': Rover Finds Clue That Mars May Harbor Life ,The New York Times
"Goodbye, Nation. Goodbye, Blowhard Self.",The New York Times
"Can't Have Your Cake, Gays Are Told, and a Rights Battle Rises",The New York Times
"The Odd Math of Medical Tests: One Scan, Two Prices, Both High",The New York Times
"2014 Holiday Gift Ideas and Guide - Movies, Music, Books, Clothes & More",The New York Times
"In Queens, Kimchi Is Just the Start",The New York Times
Korean Air Faces Flight Suspensions Over Executive's Snack Tantrum,The New York Times
Army Deserter Is Jailed for Chasing the Conflicts That Steadied His Mind,The New York Times
Quandary for Sony in Terror Threats Over 'The Interview',The New York Times
" From AMC and MoviePass, a Film a Day for a Monthly Fee ",The New York Times
A Meditation on the Art of Not Trying ,The New York Times
"A Last Hurrah for 'Night at the Museum' Franchise, and for Robin Williams",The New York Times
"To Lure Young, Movie Theaters Shake, Smell and Spritz",The New York Times
Vatican Report Cites Achievements and Challenges of U.S. Nuns,The New York Times
Stop Wasting Doctors' Time,The New York Times
"How to Build an Empire, the Netflix Way ",The New York Times
A Whisky Campaign for Those Who Want to Drink Like Don Draper,The New York Times
Pakistan leader vows to reinstate death penalty,WashingtonPost
Pakistan mourns for school massacre victims,WashingtonPost
N.. Korea calls for probe into CIA's tactics,WashingtonPost
Johns Hopkins mistakenly says 'yes' to hundreds of rejected applicants,WashingtonPost
People Magazine's worst selling issue this year? The one with Hillary Clinton on the cover.,WashingtonPost
Scottish Parliament 18 December 2014,BBCNews
North Sea oil industry 'close to collapse',BBCNews
Swiss National Bank will cut interest rate to minus 0.25%,BBCNews
Child abuse inquiry: Police investigate three alleged murders,BBCNews
Putin seeks to ease fears over Russian economic crisis,BBCNews
The Interview: Sony shelves worldwide release,BBCNews
Highcliffe School in lockdown after shots fired,BBCNews
Boris Johnson flight passenger admits assault and drink charges,BBCNews
Minister outlines funding 'cut of 1.8%' for English councils,BBCNews
Council cuts: Who will lose out most?,BBCNews
Teen Exonerated 70 Years After Execution,SkyNews
White Christmas! Will It Snow Where You Are?,SkyNews
Brits Can Bring Foreign Family To UK - Ruling,SkyNews
Sony Cancels Kim Jong-Un Movie After Threats,SkyNews
'Bodies Fly' As Car Hits Crowd Leaving Concert,SkyNews
Actors Slam Hollywood For 'Caving In' To Threats,SkyNews
Girl 'On Way To Join IS' Stopped On Runway,SkyNews
Special Forces Sentenced To Death For Cowardice,SkyNews
Three Murders Investigated In Child Abuse Probe,SkyNews
Man Held After Reports Of Shots Near School,SkyNews
"Man finds woman with same name as ex to join him on round-the-world trip",Guardian
Claims that boys were murdered by VIP sex ring are 'credible and true' say police,Guardian
Chinese passenger opens plane door for fresh air,Guardian
Billy Corgan: 'Nobody believes I made a three-star record. Nobody!',Guardian
Revealed: Premier League clubs charge up to £600 for children to be mascots,Guardian
"Gogglebox star to leave show to stand for Ukip in general election",Guardian
Christmas release of The Interview cancelled by Sony,Guardian
Pakistani school attackers 'were told to kill soldiers' after massacre of pupils,Guardian
Lana Del Rey's death wish: how our interview unleashed a storm of hate,Guardian
Chelsea's Stamford Bridge - then and now,Guardian
"Non-EU family members do not need visa to enter UK, says European court",Guardian
Putin press conference: 'economy will rebound within two years',Guardian
Putin: I feel no responsibility for collapse of rouble,Guardian
The Interview: Sony's retreat signals an unprecedented defeat on American turf | Peter Bradshaw,Guardian
Collapse of ruble costs Arsenal's Alisher Usmanov £516m in 48 hours,Guardian
"Obesity can be a disability, EU court rules",Guardian
Jerry Seinfeld's Clio acceptance speech is a standup routine for our times,Guardian
Student raises thousands of pounds for homeless man who offered her money,Guardian
"I'm an Anonymous hacker in prison, and I am not a crook. I'm an activist | Jeremy Hammond",Guardian
Sony Pictures scraps release of The Interview after theaters pull out,Guardian
"A Christmas feast fit for a Queen! Royals including George, Kate, William and Harry descend on Buckingham Palace for festive lunch (but police need a crib sheet to identify the lesser known faces)",DailyMail
"The single mother of eight children planning a lavish Christmas - all funded by benefits worth £2,200 a MONTH",DailyMail
"Kim Kardashian fan Jordan James Parke spent $150,000 on more than FIFTY cosmetic procedures to transform into idol",DailyMail
So which twin's make-up cost £400 and which was £10 from Poundland? ,DailyMail
EXCLUSIVE: 'The police aren't saying I beat my wife. The hospital isn't saying I beat my wife. Who IS accusing me?' Mel B's husband breaks silence after quitting Britain amid claims of 'explosive rows' with ex-Spice Girl,DailyMail
'I was a bit annoyed': Mark Ronson was unimpressed with Fleur East covering Uptown Funk on X Factor before his song's official release,DailyMail
Proof just one glass of Christmas cheer can put you over the limit: Five women with very different drinking habits - and a truly sobering experiment,DailyMail
Kate's hair is a NIGHTMARE says Prince William as he joins young homeless people for a charity breakfast in London ,DailyMail
He's got a lot of front! Alan Carr recreates THAT famously racy Lauren Goodger selfie in playful magazine shoot,DailyMail
She's got the X Factor! Simon Cowell's girlfriend Lauren Silverman displays her slender bikini body in Barbados as she cuddles their son Eric,DailyMail
"Strange rock containing 30,000 diamonds baffles scientists",Telegraph
How should parents react to kids questioning gender?,Telegraph
Taliban burned teachers alive in Pakistan school attack ,Telegraph
"The Apprentice, review: 'the whole series was a waste of time'",Telegraph
France to block David Cameron's treaty change plan,Telegraph
Russian economic meltdown sparks wave of panic buying London homes  ,Telegraph
Dog owner 'attacked woman trying to stop his dog mauling her six-year-old daughter',Telegraph
Traveller finds Elizabeth Gallagher - but her boyfriend's not happy,Telegraph
Hollywood anger over Sony's 'un-American act of cowardice',Telegraph
EU court rules that fatness 'can constitute a disability',Telegraph
"U.S. to Restore Full Relations With Cuba, Erasing a Last Trace of Cold War Hostility",The New York Times
U.S. Said to Find North Korea Ordered Cyberattack on Sony,The New York Times
What Happened When Marissa Mayer Tried to Be Steve Jobs,The New York Times
"Citing Health Risks, Cuomo Bans Fracking in New York State",The New York Times
Sony Drops 'The Interview' Following Terrorist Threats,The New York Times
How Exercise Changes Our DNA,The New York Times
"Change in Policy, Like Shift in Demographics, Could Alter Florida's Political Map ",The New York Times
"Goodbye, Nation. Goodbye, Blowhard Self.",The New York Times
Mr. Obama's Historic Move on Cuba,The New York Times
"For Obama, More Audacity and Fulfillment of Languishing Promises",The New York Times
"Journey to Reconciliation Visited Worlds of Presidents, Popes and Spies",The New York Times
"A Last Hurrah for 'Night at the Museum' Franchise, and for Robin Williams",The New York Times
"To Lure Young, Movie Theaters Shake, Smell and Spritz",The New York Times
"How to Build an Empire, the Netflix Way ",The New York Times
A Whisky Campaign for Those Who Want to Drink Like Don Draper,The New York Times
"With 'Hunger Games' Campaigns, Lionsgate Punches Above Its Weight",The New York Times
"For First Time, Treatment Helps Patients With Worst Kind of Stroke, Study Says",The New York Times
"2014 Holiday Gift Ideas and Guide - Movies, Music, Books, Clothes & More",The New York Times
How America's Relationship With Cuba Will Change,The New York Times
100 Notable Books of 2014,The New York Times
It took 10 minutes to convict 14-year-old George Stinney Jr. It took 70 years after his execution to exonerate him.,WashingtonPost
Cuba decision marks a bet by Obama that Cold War politics have turned a corner,WashingtonPost
Obama gives the Castro regime in Cuba an undeserved bailout,WashingtonPost
"Jon Stewart goes through the list of random things in the spending bill, is horrified",WashingtonPost
Texas takes aim at the First Amendment,WashingtonPost
Prime Minister's Questions: David Cameron v Ed Miliband,BBCNews
Car smoke ban 'to start in October',BBCNews
Pakistan school attack: PM Sharif vows to end 'terrorism',BBCNews
As it happened: Pakistan families bury children,BBCNews
Al-Sweady Inquiry: UK army murder claims 'deliberate lies',BBCNews
Preston student sleeps rough to repay homeless man Robbie's kindness,BBCNews
Alan Gross: US worker released from Cuba prison,BBCNews
Rules for babies 'from three people',BBCNews
New York premiere of Sony film The Interview cancelled,BBCNews
Russia plans new measures to stabilise the rouble,BBCNews
Mystery Methane Suggests Life On Mars,SkyNews
Boxer Hurt After Tackling Pair Of Burglars,SkyNews
Exclusive: Death Pact Of IS-Fighting Britons,SkyNews
X Factor's Mel B Had 'Big Row' With Husband,SkyNews
Emergency Landing As Turbulence Hurts 14,SkyNews
Kim Jong-Un Film Premiere Axed Over 9/11 Threat,SkyNews
Prosecutor Decides Not To Charge Bill Cosby,SkyNews
Pakistan Reinstates Death Penalty After Attack,SkyNews
Sydney Siege Victim 'Shielded Pregnant Friend',SkyNews
Festive Cheer On Forecourt As Petrol Prices Fall,SkyNews
Student raises thousands of pounds for homeless man who offered her money,Guardian
Russia's central bank announces measures to calm crisis - business live,Guardian
Labour opens up five-point poll lead over Tories,Guardian
"Chelsea doctor asked three times for stretchers after Zouma injury, says Cech",Guardian
Al-Sweady inquiry: UK troops mistreated Iraqis but did not murder them,Guardian
Pakistan school attack: political rivals agree anti-terrorism plan,Guardian
JK Rowling confirms that there were Jewish wizards in Hogwarts,Guardian
Is the Year 2038 problem the new Y2K bug?,Guardian
The Missing finale: were you satisfied with the ending?,Guardian
Scottish independence: Queen was asked to intervene amid yes vote fears,Guardian
Sport quiz of the year 2014 - live!,Guardian
Wrecking Russia's economy could be a disaster for the west | Angus Roxburgh,Guardian
Pakistan school massacre prompts prime minister to lift death penalty ban,Guardian
Eating on public transport: the dos and don'ts,Guardian
L'Oreal millionaire versus chip stand owner in battle over stinky ski chalet,Guardian
Off the wall: Jeremy Deller brings William Morris back to life,Guardian
Pakistan responds to Peshawar school massacre with strikes on Taliban,Guardian
The Interview New York premiere cancelled in wake of hacker threats,Guardian
Senior Conservatives in spotlight over speeches to 'vile' rightwing fringe group,Guardian
"If you must eat meat, save it for Christmas | George Monbiot",Guardian
The Missing had a truly brilliant whodunnit...but what a chilling final twist! CHRISTOPHER STEVENS reviews last night's TV,DailyMail
Was Pakistan school massacre in revenge for Malala's Nobel Prize? Children forced to watch their teacher being burned alive as Taliban murder 132 children,DailyMail
"Domestic violence, handling stolen goods and beating a mallard to death with a brick: The chequered history of Mel B's husband who has been in and out of trouble with police for over two decades ",DailyMail
Casual in black: Kate swaps high-end fashion for a hoodie - and a blindfold - as she arrives to help Beaver Scouts ice a cake ,DailyMail
Mel B 'walks out on husband Stephen Belafonte following series of blazing rows'... as marriage 'hangs by a thread',DailyMail
A kiss for my baby: Simon Cowell puts on a show of affection with girlfriend Lauren Silverman as they arrive in Barbados with Eric,DailyMail
EXCLUSIVE: Down-to-earth David Beckham surprises shoppers as he hits high street store to stock up on his festive essentials,DailyMail
The Smart way to beat a parking fine: Owner wins year-long battle after parking her tiny car at right angle ,DailyMail
'We couldn't be happier!' Abbey Clancy announces she is expecting her second child with husband Peter Crouch,DailyMail
First pictures inside the Pakistan massacre school: Shocking images reveal bombed-out offices of principal who was burnt alive in front of her pupils - just because she was married to a soldier ,DailyMail
Russia risks Soviet-style collapse as rouble defence fails ,Telegraph
Student raises thousands for homeless man who offered her £3 for a taxi,Telegraph
"The Missing, final episode, review: 'a manipulation too far'",Telegraph
England won't put up with Scotland's behaviour for long,Telegraph
Life on Mars: Nasa finds first hint of alien life,Telegraph
'Sanchez's style is embarrassing and dangerous',Telegraph
Russell Brand compared to 'school bully' by RBS employee after bank protest,Telegraph
Nativity donkey dies after being sat on in Spanish Christmas fair,Telegraph
Russian economic crisis: live,Telegraph
Pakistan school attack: 132 Taliban hostages feared dead - latest,Telegraph
"Taliban Besiege Pakistan School, Leaving 145 Dead",The New York Times
Warren Can Win,The New York Times
Russia's Steep Rate Increase Fails to Stem Ruble's Decline,The New York Times
 'A Great Moment': Rover Finds Clue That Mars May Harbor Life ,The New York Times
"Goodbye, Nation. Goodbye, Blowhard Self.",The New York Times
"Can't Have Your Cake, Gays Are Told, and a Rights Battle Rises",The New York Times
"The Odd Math of Medical Tests: One Scan, Two Prices, Both High",The New York Times
"2014 Holiday Gift Ideas and Guide - Movies, Music, Books, Clothes & More",The New York Times
"In Queens, Kimchi Is Just the Start",The New York Times
Korean Air Faces Flight Suspensions Over Executive's Snack Tantrum,The New York Times
Army Deserter Is Jailed for Chasing the Conflicts That Steadied His Mind,The New York Times
Quandary for Sony in Terror Threats Over 'The Interview',The New York Times
" From AMC and MoviePass, a Film a Day for a Monthly Fee ",The New York Times
A Meditation on the Art of Not Trying ,The New York Times
"A Last Hurrah for 'Night at the Museum' Franchise, and for Robin Williams",The New York Times
"To Lure Young, Movie Theaters Shake, Smell and Spritz",The New York Times
Vatican Report Cites Achievements and Challenges of U.S. Nuns,The New York Times
Stop Wasting Doctors' Time,The New York Times
"How to Build an Empire, the Netflix Way ",The New York Times
A Whisky Campaign for Those Who Want to Drink Like Don Draper,The New York Times
Pakistan leader vows to reinstate death penalty,WashingtonPost
Pakistan mourns for school massacre victims,WashingtonPost
N.. Korea calls for probe into CIA's tactics,WashingtonPost
Johns Hopkins mistakenly says 'yes' to hundreds of rejected applicants,WashingtonPost
People Magazine's worst selling issue this year? The one with Hillary Clinton on the cover.,WashingtonPost
Glasgow bin lorry crash,BBCNews
George Square crash: Three family members killed in Glasgow,BBCNews
Glasgow crash: Man arrested over tweet,BBCNews
Ukraine votes to drop non-aligned status,BBCNews
"E-books 'damage sleep and health,' doctors warn",BBCNews
Six people killed and eight injured in Glasgow bin lorry crash,BBCNews
Civil partnerships ban challenged by heterosexual couple,BBCNews
UK economic growth revised down,BBCNews
France to deploy soldiers after spate of attacks,BBCNews
Rare Islamic State visit reveals 'brutal and strong' force,BBCNews
Police Investigate Deadly Bin Lorry Crash,SkyNews
US Families Prepare For 'Modern Day Apocalypse',SkyNews
Ex-Footballer Hit By Lorry Is 'Very Poorly',SkyNews
Man Stabs Himself After Ploughing Into Market,SkyNews
North Korea Hacked? State's Internet Cut,SkyNews
Tara Palmer-Tomkinson Arrested At Heathrow,SkyNews
Glasgow: Witnesses Tell Of Screams,SkyNews
Implant Offers Hope To Arthritis Patients,SkyNews
Singer Joe Cocker Dies At 70,SkyNews
Tuesday's National Newspaper Front Pages,SkyNews
Glasgow bin lorry crash: five females and one male killed,Guardian
"Goodbye, cruel 2014: we promise not to miss you once you've gone | Charlie Brooker",Guardian
Zlatan anger at finishing second on list of all-time Swedish sports people,Guardian
The top 100 footballers 2014 - interactive,Guardian
What if Downton Abbey told the truth about Britain? | Polly Toynbee,Guardian
Glasgow bin lorry crash: three victims from same family are named,Guardian
"The truth about alcohol, from gin tears to champagne hangovers",Guardian
US economy grows at fastest pace in a decade  - live,Guardian
Monkey saves dying friend at Indian train station - video,Guardian
North Korea internet service resumes after shutdown,Guardian
The best iPhone and iPad games of 2014,Guardian
"I'm an atheist and anti-consumerist, which makes Christmas pretty difficult | Zoe Williams",Guardian
BBC correspondent goes to pot while filming drug report | Media Monkey,Guardian
Dortmund show signs that end of the Jírgen Klopp era might be in sight | Raphael Honigstein,Guardian
"Record 17,000 join 'Pinstripe Nazi' anti-Islam march in Germany",Guardian
Brum on over: the London exodus to UK's second city,Guardian
"Naughty, naughty, very naughty: adults-only parties at Butlins - in pictures",Guardian
The best iPhone apps of 2014,Guardian
Judge slashes single-punch killer's jail term,Guardian
"After New Era, it's harder than ever to mock Russell Brand as a hypocrite | Antony Loewenstein",Guardian
Three members of the same family feared to be among six dead after bin lorry smashes into Christmas shoppers in Glasgow city centre leaving trail of carnage in its wake,DailyMail
Clarke Carlisle 'alive and stable' but 'very poorly' after former defender was hit by a lorry in North Yorkshire,DailyMail
"U.S. military shot down MH370 because they thought it had been hacked and was about to be used in terror attack', claims former airline boss ",DailyMail
"'Don't inhale!' BBC reporter gets so high standing next to stack of burning opium, heroin and hash, he can't finish his report",DailyMail
Helen Flanagan shows off her burgeoning baby bump in tiny turquoise bikini as she is spotted for the first time since pregnancy announcement,DailyMail
Strictly close pals! Simon Webbe gets a congratulatory hug from former EastEnders star Louisa Lytton on Essex night out,DailyMail
Socialite Tara Palmer-Tomkinson pictured back at Heathrow after being 'arrested by armed police for throwing tantrum because she was refused access to first-class lounge',DailyMail
Pensioner couple and their 16-year-old granddaughter named among the five females and a male killed in Glasgow bin lorry crash - as it emerges that 'two workers were also in cab with driver' ,DailyMail
"PICTURE EXCLUSIVE: Denise Welch, 56, hits the beach in racy red bikini after recent controversy over 'unhealthy' weight loss",DailyMail
Ten signs you're drinking a little too much: Here's how to know when enjoying the odd glass of wine slips into something harmful,DailyMail
White people shouldn't steal hip-hop',Telegraph
Record numbers rally against 'Islamisation' in Germany,Telegraph
Three members of the same family feared to be among six dead after Glasgow bin lorry crash,Telegraph
Twelve defenders may face Anfield exit ,Telegraph
I took on a racist and he threw his hot chocolate at me,Telegraph
The truth behind Arsenal's terrible injury record,Telegraph
North Korea internet 'totally down' as US cyber attack suspected ,Telegraph
Oil plummets after Saudis say $20 crude is possible,Telegraph
Russia starts bailing out banks as economy faces 'full-blown crisis',Telegraph
Glasgow bin lorry crash kills three members of same family and primary school teacher,Telegraph
"What 2,000 Calories Looks Like",The New York Times
North Korea Loses Its Link to the Internet,The New York Times
"For Mayor de Blasio and New York Police, a Rift Is Ripped Open",The New York Times
"Accusers and the Accused, Crossing Paths at Columbia University",The New York Times
Prosecute Torturers and Their Bosses,The New York Times
"For Stanford Class of '94, a Gender Gap More Powerful Than the Internet",The New York Times
Conquest Is for Losers,The New York Times
"Joe Cocker, Raspy-Voiced Rock Star With Distinctive Moves, Is Dead at 70 ",The New York Times
"De Blasio, With Bratton by Side, Seeks Balance After 2 Killings",The New York Times
"New York Officers' Killer, Adrift and Ill, Had a Plan",The New York Times
Forty Portraits in Forty Years,The New York Times
G.O.P. Hopes for Unity May Be Upset by Ben Carson,The New York Times
"Privilege, Among Rape Victims",The New York Times
"He Sees You When You're Sleeping, and Gives You Nightmares",The New York Times
"2014 Holiday Gift Ideas and Guide - Movies, Music, Books, Clothes & More",The New York Times
A Dispute Over Portion Size at Olive Garden,The New York Times
How a Cuban Spy and His Wife Came to Be Expectant Parents,The New York Times
Coming Soon: Places to Go 2015,The New York Times
A. O. Scott's Top 10 Movies 2014: 'Boyhood' and More,The New York Times
Targeted Attack on New York Police Officers Reopens Wounds From the Militant 1970s,The New York Times
"iPads, tablets, smartphones may disrupt sleep more than we realized",WashingtonPost
Pope in blistering critique of Vatican bureaucrats,WashingtonPost
Larry Klayman's legal massacre,WashingtonPost
What Yellowstone's Thermal Springs looked like before humans contaminated them,WashingtonPost
J.K. Rowling: Portrait of a 'Harry Potter' addict,WashingtonPost
Glasgow bin lorry crash latest,BBCNews
Glasgow bin lorry crash: Archbishop cried with bereaved family,BBCNews
Bryan Ferry's son Merlin 'critical' after Shropshire crash,BBCNews
IS captures Jordanian pilot after warplane crashes in Syria,BBCNews
St Louis unrest after police killing of teenager,BBCNews
Fancy dress Del Boy prank gets over six million hits,BBCNews
BAE wins $1.2bn US combat vehicles contract,BBCNews
Christmas Day sees 2.9% of the workforce at work,BBCNews
Elderly Scunthorpe pair 'critical' after attack by suspected burglar,BBCNews
Airports busy for Christmas Eve but roads quiet,BBCNews
Police Investigate Deadly Bin Lorry Crash,SkyNews
US Families Prepare For 'Modern Day Apocalypse',SkyNews
Ex-Footballer Hit By Lorry Is 'Very Poorly',SkyNews
Man Stabs Himself After Ploughing Into Market,SkyNews
North Korea Hacked? State's Internet Cut,SkyNews
Tara Palmer-Tomkinson Arrested At Heathrow,SkyNews
Glasgow: Witnesses Tell Of Screams,SkyNews
Implant Offers Hope To Arthritis Patients,SkyNews
Singer Joe Cocker Dies At 70,SkyNews
Tuesday's National Newspaper Front Pages,SkyNews
Antonio Martin shooting: surveillance footage shows victim raising a gun - live updates,Guardian
It's been a great year! Thanks to these Facebook scams...,Guardian
The top 100 footballers 2014 - interactive,Guardian
Isis fighters capture Jordanian pilot after plane came down over Syria,Guardian
Cristiano Ronaldo overtakes Lionel Messi as the best footballer in the world,Guardian
Love Activists' protesters in standoff with police in central London,Guardian
Helena Bonham Carter and Tim Burton announce break-up,Guardian
Death toll among Qatar's 2022 World Cup workers revealed,Guardian
"Jesus was not born in a stable, says theologian",Guardian
"'Nathan was born at 23 weeks. If I'd known then what I do now, I'd have wanted him to die in my arms'",Guardian
Missouri police officer fatally shoots black teenager in St Louis suburb,Guardian
Supertrawlers to be banned permanently from Australian waters,Guardian
Rush Limbaugh: Idris Elba can't be Bond because he's black,Guardian
Boxing Day sales start early: where are the best deals?,Guardian
How I got to know my mum in a Bangkok sex hotel | Rhik Samadder,Guardian
"The world's best footballers in 2014: by nationality, leagues and clubs",Guardian
Blackpool manager Lee Clark appeals for help in finding awol Nile Ranger,Guardian
The Christmas my family rejected me | Paris Lees,Guardian
Which European countries get the most time off over Christmas?,Guardian
Ghosts of London's Christmas past and present - in pictures,Guardian
Helena's agony as she splits from Tim Burton: Friends say father of her two children has had a 'mid-life crisis' ,DailyMail
PICTURED: Final seconds of Glasgow lorry's trail of devastation which killed six including 18-year-old and her grandparents as her mother watched on in horror ,DailyMail
"Tragedy as young mother, 28, dies of tongue cancer just 12 HOURS after marrying RAF serviceman love of her life in hospice chapel",DailyMail
Introducing the future prince of Monaco (and his sister): Proud Prince Albert and Charlene introduce their newborn twins Jacques and Gabriella,DailyMail
What will a homeless man do with $100? Filmmaker follows beggar into a liquor store after giving him cash but is left shocked to find the man does the very opposite of what you'd expect,DailyMail
Shocking moment Tara Palmer-Tomkinson was arrested by EIGHT Heathrow police officers after she 'panicked because people were taking photos of her and tried to run back through security',DailyMail
"Bryan Ferry's son fights for life after horror crash: Firemen took 45 minutes to cut Merlin, 24, free from mangled car",DailyMail
ISIS 'shoot down' and capture pilot of Jordanian F-16 jet that was assisting U.S-led coalition strikes in Syria ,DailyMail
'I was in his bed last week': Dan Osborne's ex-girlfriend Megan Tomlin taunts pregnant Jacqueline Jossa in online rant,DailyMail
Make-up free Lily Allen looks slimmer than ever as she dons reindeer antlers to pick up flowers in Notting Hill,DailyMail
The baby from Teletubbies reveals herself,Telegraph
Why weight training is better for your waistline than running,Telegraph
How to see Santa (aka the ISS) flying by on Christmas Eve,Telegraph
Helena Bonham Carter and Tim Burton split ,Telegraph
Watch live: Santa's journey around the world,Telegraph
Bryan Ferry's son 'critical' following car crash,Telegraph
BBC man reports on burning opium - cracks up laughing,Telegraph
White people shouldn't steal hip-hop',Telegraph
Liverpool put finishing touches to Torres bid,Telegraph
US police shoot dead black teenager near Ferguson,Telegraph
"What 2,000 Calories Looks Like",The New York Times
"The Year in Pictures, 2014",The New York Times
"For Stanford Class of '94, a Gender Gap More Powerful Than the Internet",The New York Times
Economic Vital Signs in 3rd Quarter Were Strongest in a Decade,The New York Times
"Sony, in About-Face, Will Screen 'The Interview' in a Small Run",The New York Times
"F.D.A. Easing Ban on Gays, to Let Some Give Blood",The New York Times
North Korea Loses Its Link to the Internet,The New York Times
"Sugar Season. It's Everywhere, and Addictive.",The New York Times
The Real Threat to Hillary Clinton: Jim Webb,The New York Times
Mysterious Virus That Killed a Farmer in Kansas Is Identified,The New York Times
Forty Portraits in Forty Years,The New York Times
The Subtle Sensations of Faith,The New York Times
The Lives They Lived,The New York Times
"America's Christmas Gift Lists, as Seen by Google",The New York Times
Shale and the Falling Price of Oil,The New York Times
Joe Cocker Is Dead at 70; Raspy-Voiced Rock Star With Distinctive Moves,The New York Times
Neglected Server Provided Entry for JPMorgan Hackers,The New York Times
"The Pope, Beyoncé and Me",The New York Times
"After Shootings, Police Union Chief Deepens Rift With de Blasio",The New York Times
Taliban Push Into Afghan Districts That U.S. Had Secured,The New York Times
Treating Ebola without electricity or clean water,WashingtonPost
Jeb Bush e-mails offer a look at the Republican's hands-on style as governor,WashingtonPost
Police: Officer kills man in St. Louis suburb after he pulls gun,WashingtonPost
"Now that the Dow has hit 18,000, let us remember the worst op-ed in history",WashingtonPost
"Wilson High School principal, who came out as gay last year, resigns immediately",WashingtonPost
Lorry crash teen 'improving' as four remain in hospital,BBCNews
Loom bands 'inhalation danger' to young children,BBCNews
